合并后实体总数据量			
实体	数据量		
人	154335352		
电话	51890835		
	17647825	0.89738633	
			
三家分公司合并后数据量统计			
边关系	边关系中文解释	边关系数据量	
TELEPHONE_OF_BUS		155214	
TELEPHONE_OF_REPORTER		11921244	
TELEPHONE_OF_APPLI		197569834	
TELEPHONE_OF_CHECHKER		5641	
TELEPHONE_OF_BENE		34209998	
TELEPHONE_OF_SUR		5671	
TELEPHONE_OF_INSURE		78876101	
			
			
每个分公司数据量统计			
分公司	总数据量	人数据量	电话数据量
太财	109455642	38531889	34590341
太寿	109457796	42859938	666190
太养	105619398	90591350	18213180
		171983177	
			
每个分公司不同边关系数据量统计			
太财	TELEPHONE_OF_CHECHKER	5641	
	TELEPHONE_OF_APPLI	51082924	
	TELEPHONE_OF_BUS	142360	
	TELEPHONE_OF_REPORTER	11921244	
	TELEPHONE_OF_INSURE	40930059	
	TELEPHONE_OF_SUR	5671	
	TELEPHONE_OF_BENE	5367743	
			
			
太寿	TELEPHONE_OF_BUS	3999	
	TELEPHONE_OF_BENE	21782313	
	TELEPHONE_OF_INSURE	34445407	
	TELEPHONE_OF_APPLI	53226077	
			
			
太养	TELEPHONE_OF_APPLI	94777872	
	TELEPHONE_OF_BENE	7281024	
	TELEPHONE_OF_BUS	8855	
	TELEPHONE_OF_INSURE	3551647	
